# omega0=1, alpha=0
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=100, h=0.00911928
#   t          x(t)                 v(t)       
6.839461509992265e+00 7.688757612021383e-01 -2.096956301516363e-01
6.930654330125495e+00 7.468823943778367e-01 -2.724102828561480e-01
7.021847150258726e+00 7.192425921354771e-01 -3.334613238029757e-01
7.113039970391956e+00 6.861272763100013e-01 -3.924248935712720e-01
7.204232790525186e+00 6.477466992042036e-01 -4.488624155589335e-01
7.295425610658416e+00 6.043517157761069e-01 -5.023224759036430e-01
7.386618430791646e+00 5.562347872034512e-01 -5.523448566223496e-01
7.477811250924876e+00 5.037305155712913e-01 -5.984667838915207e-01
7.569004071058107e+00 4.472155106522242e-01 -6.402312981742104e-01
7.660196891191337e+00 3.871074062306394e-01 -6.771974752086742e-01
7.751389711324567e+00 3.238628766378538e-01 -7.089520403918208e-01
7.842582531457797e+00 2.579745540566920e-01 -7.351217435464814e-01
7.933775351591027e+00 1.899668116607668e-01 -7.553857202009810e-01
8.024968171724257e+00 1.203904524964321e-01 -7.694869835146972e-01
8.116160991857488e+00 4.981642286529060e-02 -7.772421878044309e-01
8.207353811990718e+00 -2.117125594831068e-02 -7.785488911876765e-01
8.298546632123948e+00 -9.198308064547478e-02 -7.733897193843932e-01
8.389739452257178e+00 -1.620318828784446e-01 -7.618330793652617e-01
8.480932272390408e+00 -2.307405505213697e-01 -7.440303620308802e-01
8.572125092523638e+00 -2.975493416914815e-01 -7.202098712987764e-01
8.663317912656868e+00 -3.619225142089059e-01 -6.906679853025768e-01
8.754510732790099e+00 -4.233540492774738e-01 -6.557582617303094e-01
8.845703552923329e+00 -4.813723193936369e-01 -6.158793224124504e-01
8.936896373056559e+00 -5.355436288071298e-01 -5.714623846625542e-01
9.028089193189789e+00 -5.854746321790862e-01 -5.229592547062226e-01
9.119282013323019e+00 -6.308137064022183e-01 -4.708314786570363e-01
9.210474833456249e+00 -6.712514067121474e-01 -4.155411819790775e-01
9.301667653589480e+00 -7.065201782788604e-01 -3.575439436458965e-01
9.392860473722710e+00 -7.363935176016392e-01 -2.972838679516157e-01
9.484053293855940e+00 -7.606847851631796e-01 -2.351908514143546e-01
9.575246113989170e+00 -7.792458640420964e-01 -1.716799042113606e-01
9.666438934122400e+00 -7.919658412548544e-01 -1.071522787244345e-01
9.757631754255630e+00 -7.987698623125120e-01 -4.199808082244980e-02
9.848824574388860e+00 -7.996182773812111e-01 2.340001186182818e-02
9.940017394522091e+00 -7.945061616084188e-01 8.866233180259435e-02
1.003121021465532e+01 -7.834632541907867e-01 1.534075274903393e-01
1.012240303478855e+01 -7.665543217603812e-01 2.172480232073476e-01
1.021359585492178e+01 -7.438799125478118e-01 2.797860592336369e-01
1.030478867505501e+01 -7.155774294045668e-01 3.406107256785486e-01
1.039598149518824e+01 -6.818224131866963e-01 3.992963763976224e-01
1.048717431532147e+01 -6.428298946550496e-01 4.554027643515721e-01
1.057836713545470e+01 -5.988556448672135e-01 5.084771706198110e-01
1.066955995558793e+01 -5.501971334501679e-01 5.580587012244994e-01
1.076075277572116e+01 -4.971939939185103e-01 6.036847966525423e-01
1.085194559585439e+01 -4.402277981319400e-01 6.448998405650669e-01
1.094313841598762e+01 -3.797209604103767e-01 6.812655745974462e-01
1.103433123612085e+01 -3.161346270678345e-01 7.123728398359163e-01
1.112552405625408e+01 -2.499654589117069e-01 7.378539928543941e-01
1.121671687638731e+01 -1.817412802614687e-01 7.573952091216276e-01
1.130790969652054e+01 -1.120156437292899e-01 7.707478130796219e-01
1.139910251665377e+01 -4.136143883340845e-02 7.777377813651207e-01
1.149029533678700e+01 2.963625339873631e-02 7.782726630640763e-01
1.158148815692023e+01 1.003877965165829e-01 7.723453451177439e-01
1.167268097705346e+01 1.703068210820324e-01 7.600343445654459e-01
1.176387379718669e+01 2.388179132959317e-01 7.415006027137395e-01
1.185506661731992e+01 3.053638610289275e-01 7.169810528797370e-01
1.194625943745315e+01 3.694121855994724e-01 6.867794958060918e-01
1.203745225758638e+01 4.304607459305438e-01 6.512555141013394e-01
1.212864507771961e+01 4.880422742217569e-01 6.108122694396553e-01
1.221983789785284e+01 5.417277808843382e-01 5.658840479956320e-01
1.231103071798607e+01 5.911288431913422e-01 5.169243582963857e-01
1.240222353811930e+01 6.358988600745649e-01 4.643952591909806e-01
1.249341635825254e+01 6.757334098547078e-01 4.087584274457404e-01
1.258460917838577e+01 7.103698857373492e-01 3.504682888692985e-01
1.267580199851900e+01 7.395866050561417e-01 2.899673550017743e-01
1.276699481865223e+01 7.632015935927416e-01 2.276837447829465e-01
1.285818763878546e+01 7.810712380654646e-01 1.640307362462947e-01
1.294938045891869e+01 7.930889808086157e-01 9.940809013399526e-02
1.304057327905192e+01 7.991842035600832e-01 3.420481369536729e-02
1.313176609918515e+01 7.993214146343688e-01 -3.119701575468803e-02
1.322295891931838e+01 7.934998176008259e-01 -9.641777733323877e-02
1.331415173945161e+01 7.817533014265486e-01 -1.610756082553480e-01
1.340534455958484e+01 7.641508529858579e-01 -2.247819105845778e-01
1.349653737971807e+01 7.407973537616118e-01 -2.871374886124359e-01
1.358773019985130e+01 7.118346843401872e-01 -3.477297276610052e-01
1.367892301998453e+01 6.774430240228402e-01 -4.061311964645056e-01
1.377011584011776e+01 6.378422000335883e-01 -4.619000076130979e-01
1.386130866025099e+01 5.932929133930858e-01 -5.145821981725777e-01
1.395250148038422e+01 5.440976490280957e-01 -5.637162908662544e-01
1.404369430051745e+01 4.906010688878099e-01 -6.088400632503492e-01
1.413488712065068e+01 4.331896915064273e-01 -6.494993908467984e-01
1.422607994078391e+01 3.722906818383831e-01 -6.852588489220207e-01
1.431727276091714e+01 3.083696124592875e-01 -7.157135717395251e-01
1.440846558105037e+01 2.419271108722174e-01 -7.405016985996017e-01
1.449965840118360e+01 1.734943751021902e-01 -7.593166070389666e-01
1.459085122131683e+01 1.036276162021242e-01 -7.719180688171957e-01
1.468204404145006e+01 3.290156498703477e-02 -7.781414819776030e-01
1.477323686158329e+01 -3.809774671883413e-02 -7.779044404976940e-01
1.486442968171652e+01 -1.087806609282715e-01 -7.712100967253787e-01
1.495562250184975e+01 -1.785617168115441e-01 -7.581470318582364e-01
1.504681532198298e+01 -2.468673022569907e-01 -7.388856455063868e-01
1.513800814211621e+01 -3.131428280234406e-01 -7.136713697650992e-01
1.522920096224944e+01 -3.768591587854770e-01 -6.828152693469877e-01
1.532039378238267e+01 -4.375180957558464e-01 -6.466827772304966e-01
1.541158660251590e+01 -4.946567792379447e-01 -6.056814168772402e-01
1.550277942264913e+01 -5.478509582511211e-01 -5.602483732736024e-01
1.559397224278236e+01 -5.967171503614580e-01 -5.108387048918470e-01
1.568516506291559e+01 -6.409137814199356e-01 -4.579148559181685e-01
1.577635788304882e+01 -6.801414474175916e-01 -4.019379565814967e-01
1.586755070318205e+01 -7.141424766915362e-01 -3.433612132408558e-01
1.595874352331528e+01 -7.426999898953154e-01 -2.826255096259272e-01
1.604993634344851e+01 -7.656366587431219e-01 -2.201571810293038e-01
1.614112916358174e+01 -7.828133548585615e-01 -1.563677925542086e-01
1.623232198371497e+01 -7.941278598869734e-01 -9.165565305237805e-02
1.632351480384820e+01 -7.995137801429457e-01 -2.640872600627566e-02
1.641470762398143e+01 -7.989397759090389e-01 3.899144747472748e-02
1.650590044411466e+01 -7.924091790352662e-01 1.041652258356852e-01
1.659709326424789e+01 -7.799600341698586e-01 1.687301706226053e-01
1.668828608438112e+01 -7.616655598481924e-01 2.322966062710474e-01
1.677947890451435e+01 -7.376349866436758e-01 2.944638605166180e-01
1.687067172464758e+01 -7.080146915291471e-01 3.548175936251191e-01
1.696186454478081e+01 -6.729895116403252e-01 4.129285940242206e-01
1.705305736491404e+01 -6.327840883230359e-01 4.683533675941317e-01
1.714425018504727e+01 -5.876640657401238e-01 5.206367722113899e-01
1.723544300518050e+01 -5.379369499404147e-01 5.693168437129112e-01
1.732663582531373e+01 -4.839524269594698e-01 6.139318228429489e-01
1.741782864544696e+01 -4.261019449620467e-01 6.540292283317123e-01
1.750902146558019e+01 -3.648173878026912e-01 6.891766385075579e-01
1.760021428571342e+01 -3.005687066648480e-01 7.189736587408115e-01
1.769140710584665e+01 -2.338604319099708e-01 7.430643860396327e-01
1.778259992597988e+01 -1.652270560785731e-01 7.611495596527206e-01
1.787379274611311e+01 -9.522735608086517e-02 7.729975308154016e-01
1.796498556624634e+01 -2.443780105843230e-02 7.784532130464201e-01
1.805617838637957e+01 4.655473586903928e-02 7.774442933677381e-01
1.814737120651280e+01 1.171606868053769e-01 7.699841876789876e-01
1.823856402664603e+01 1.867956086971064e-01 7.561714896319088e-01
1.832975684677927e+01 2.548877934516505e-01 7.361859599759645e-01
1.842094966691250e+01 3.208853664087910e-01 7.102813950272000e-01
1.851214248704573e+01 3.842626137178803e-01 6.787759622781635e-01
1.860333530717896e+01 4.445253415479498e-01 6.420407694643754e-01
1.869452812731219e+01 5.012151447724114e-01 6.004875241573013e-01
1.878572094744542e+01 5.539125416249667e-01 5.545561417504349e-01
1.887691376757865e+01 6.022390060033124e-01 5.047030809507737e-01
1.896810658771188e+01 6.458579941903865e-01 4.513910472191393e-01
1.905929940784511e+01 6.844751133889827e-01 3.950805301142617e-01
1.915049222797834e+01 7.178376134634354e-01 3.362234540435177e-01
1.924168504811157e+01 7.457334005111288e-01 2.752590434769456e-01
1.933287786824480e+01 7.679897727640004e-01 2.126118472246640e-01
1.942407068837803e+01 7.844720682402989e-01 1.486917393876627e-01
1.951526350851126e+01 7.950823923333172e-01 8.389561877302547e-02
1.960645632864449e+01 7.997585648884937e-01 1.861046136589155e-02
1.969764914877772e+01 7.984733926772429e-01 -4.678266311506641e-02
1.978884196891095e+01 7.912343364209675e-01 -1.119040251547856e-01
1.988003478904418e+01 7.780836030559557e-01 -1.763705469921153e-01
1.997122760917741e+01 7.590986547920873e-01 -2.397914214934023e-01
2.006242042931064e+01 7.343930875611866e-01 -3.017644614153063e-01
2.015361324944387e+01 7.041177935796195e-01 -3.618735844547196e-01
2.024480606957710e+01 6.684622871367514e-01 -4.196878068140038e-01
2.033599888971033e+01 6.276560409731172e-01 -4.747620649514857e-01
2.042719170984356e+01 5.819696548473519e-01 -5.266401061650432e-01
2.051838452997679e+01 5.317156606840875e-01 -5.748595795077672e-01
2.060957735011002e+01 4.772487628675514e-01 -6.189593183269240e-01
2.070077017024325e+01 4.189653204891384e-01 -6.584886384913202e-01
2.079196299037648e+01 3.573019027179965e-01 -6.930182923821340e-01
2.088315581050971e+01 2.927327897550687e-01 -7.221525346837910e-01
2.097434863064294e+01 2.257663490862326e-01 -7.455415939224384e-01
2.106554145077617e+01 1.569402868556772e-01 -7.628937280449355e-01
2.115673427090940e+01 8.681585183205134e-02 -7.739859958915197e-01
2.124792709104263e+01 1.597114751813579e-02 -7.786729153950200e-01
2.133911991117586e+01 -5.500622166430377e-02 -7.768923089457576e-01
2.143031273130909e+01 -1.255268894848131e-01 -7.686678481021416e-01
2.152150555144232e+01 -1.950075392405893e-01 -7.541080815353431e-01
2.161269837157555e+01 -2.628784681061073e-01 -7.334020290240163e-01
2.170389119170878e+01 -3.285906062109111e-01 -7.068117127661520e-01
2.179508401184201e+01 -3.916217375318036e-01 -6.746622394684184e-01
2.188627683197524e+01 -4.514817339459230e-01 -6.373302151254712e-01
2.197746965210847e+01 -5.077166894335544e-01 -5.952313542819949e-01
2.206866247224170e+01 -5.599119202272003e-01 -5.488081361130915e-01
2.215985529237493e+01 -6.076938709815510e-01 -4.985182725951443e-01
2.225104811250816e+01 -6.507310305935620e-01 -4.448246097977170e-01
2.234224093264139e+01 -6.887340100158096e-01 -3.881869062071862e-01
2.243343375277462e+01 -7.214549663763902e-01 -3.290557455511753e-01
2.252462657290785e+01 -7.486865730179262e-01 -2.678686651628894e-01
2.261581939304108e+01 -7.702607352618105e-01 -2.050484277129889e-01
2.270701221317431e+01 -7.860472392631893e-01 -1.410032408734563e-01
2.279820503330754e+01 -7.959524990663330e-01 -7.612863727067955e-02
2.288939785344077e+01 -7.999185376209137e-01 -1.081066299502613e-02
2.298059067357400e+01 -7.979223034162578e-01 5.457001819470704e-02
2.307178349370723e+01 -7.899753873670792e-01 1.196335216492407e-01
2.316297631384046e+01 -7.761241659921845e-01 1.839960675038444e-01
2.325416913397369e+01 -7.564503577676360e-01 2.472656646655242e-01
2.334536195410692e+01 -7.310719406573676e-01 3.090385747102982e-01
2.343655477424015e+01 -7.001443411534892e-01 3.688969580769402e-01
2.352774759437338e+01 -6.638617699123200e-01 4.264080701420975e-01
2.361894041450661e+01 -6.224585479166471e-01 4.811253188883730e-01
2.371013323463984e+01 -5.762102422077807e-01 5.325914134347162e-01
2.380132605477307e+01 -5.254344142313977e-01 5.803437198124074e-01
2.389251887490630e+01 -4.704907795577381e-01 6.239217966148148e-01
2.398371169503953e+01 -4.117805878134138e-01 6.628769132562152e-01
2.407490451517276e+01 -3.497450580293619e-01 6.967831685807696e-01
2.416609733530600e+01 -2.848627478949949e-01 7.252496449057494e-01
2.425729015543923e+01 -2.176457944037191e-01 7.479328747358809e-01
2.434848297557246e+01 -1.486350346996509e-01 7.645487888718560e-01
2.443967579570569e+01 -7.839409404025029e-02 7.748832777105759e-01
2.453086861583892e+01 -7.502605385326045e-03 7.788005473007306e-01
2.462206143597215e+01 6.345120596296343e-02 7.762485918441394e-01
2.471325425610538e+01 1.338782868959398e-01 7.672613246367349e-01
2.480444707623861e+01 2.031965549804576e-01 7.519571862736827e-01
2.489563989637184e+01 2.708384127692600e-01 7.305343486280882e-01
2.498683271650507e+01 3.362576838662341e-01 7.032629178175607e-01
2.507802553663830e+01 3.989357246374809e-01 6.704747739976663e-01
2.516921835677153e+01 4.583865314967086e-01 6.325518442153141e-01
2.526041117690476e+01 5.141607401453048e-01 5.899136735522942e-01
2.535160399703799e+01 5.658484917973015e-01 5.430051402496928e-01
2.544279681717122e+01 6.130812147069299e-01 4.922850654275924e-01
2.553398963730445e+01 6.555324312737518e-01 4.382163185512479e-01
2.562518245743768e+01 6.929177477754400e-01 3.812578403828454e-01
2.571637527757091e+01 7.249942137222118e-01 3.218588190038686e-01
2.580756809770414e+01 7.515592512194265e-01 2.604550802675691e-01
2.589876091783737e+01 7.724493532703942e-01 1.974676041692500e-01
2.598995373797060e+01 7.875387361907032e-01 1.333029590996781e-01
2.608114655810383e+01 7.967381080662412e-01 6.835535730742442e-02
2.617233937823706e+01 7.999936851575702e-01 3.009973839401769e-03
2.626353219837029e+01 7.972865536154783e-01 -6.235286754534121e-02
2.635472501850352e+01 7.886324365993881e-01 -1.273530600903970e-01
2.644591783863675e+01 7.740818881830075e-01 -1.916060599586191e-01
2.653711065876998e+01 7.537208962611746e-01 -2.547186413410956e-01
2.662830347890321e+01 7.276718378848823e-01 -3.162854807289049e-01
2.671949629903644e+01 6.960946929982922e-01 -3.758869695024245e-01
2.681068911916967e+01 6.591883876957483e-01 -4.330886169802183e-01
2.690188193930290e+01 6.171921075845425e-01 -4.874423473010639e-01
2.699307475943613e+01 5.703863978676266e-01 -5.384899075930200e-01
2.708426757956936e+01 5.190938520088491e-01 -5.857684882520369e-01
2.717546039970259e+01 4.636791881421403e-01 -6.288185089160344e-01
2.726665321983582e+01 4.045485243240803e-01 -6.671933513174680e-01
2.735784603996905e+01 3.421476921126234e-01 -7.004706344485957e-01
2.744903886010228e+01 2.769594732176331e-01 -7.282644465212422e-01
2.754023168023551e+01 2.094997046558538e-01 -7.502377949513274e-01
2.763142450036874e+01 1.403122703073632e-01 -7.661144345477771e-01
2.772261732050197e+01 6.996307522424690e-02 -7.756892068942275e-01
2.781381014063520e+01 -9.668239621156861e-04 -7.788360845194329e-01
2.790500296076843e+01 -7.188869185498435e-02 -7.755132639544448e-01
2.799619578090166e+01 -1.422138997394222e-01 -7.657648803002647e-01
2.808738860103489e+01 -2.113617066543552e-01 -7.497191973965764e-01
2.817858142116812e+01 -2.787667194534744e-01 -7.275834275781816e-01
2.826977424130135e+01 -3.438857423368333e-01 -6.996356154576256e-01
2.836096706143458e+01 -4.062037768078915e-01 -6.662142468520522e-01
2.845215988156781e+01 -4.652390007152713e-01 -6.277063921197868e-01
2.854335270170104e+01 -5.205466321815395e-01 -5.845352513008015e-01
2.863454552183427e+01 -5.717216626047290e-01 -5.371479390230862e-01
2.872573834196750e+01 -6.184005151296970e-01 -4.860042443544462e-01
2.881693116210073e+01 -6.602617452915649e-01 -4.315669464473058e-01
2.890812398223396e+01 -6.970259453465765e-01 -3.742940854537194e-01
2.899931680236719e+01 -7.284550417280735e-01 -3.146334025887387e-01
2.909050962250042e+01 -7.543511865759621e-01 -2.530189913760380e-01
2.918170244263365e+01 -7.745554412223068e-01 -1.898700556616343e-01
2.927289526276688e+01 -7.889464344755766e-01 -1.255915542055465e-01
2.936408808290011e+01 -7.974391543621852e-01 -6.057642654031760e-02
2.945528090303334e+01 -7.999840013066328e-01 4.790963315176954e-03
2.954647372316657e+01 -7.965661957844936e-01 7.013056519904438e-02
2.963766654329980e+01 -7.872055959781130e-01 1.350619835631536e-01
2.972885936343303e+01 -7.719569421558501e-01 1.991998497423099e-01
2.982005218356626e+01 -7.509105053266170e-01 2.621496541705340e-01
2.991124500369950e+01 -7.241930790392794e-01 3.235044567220960e-01
3.000243782383273e+01 -6.919692159786811e-01 3.828428708715541e-01
3.009363064396596e+01 -6.544425765691433e-01 4.397286780624478e-01
3.018482346409919e+01 -6.118572269192075e-01 4.937123669319605e-01
3.027601628423242e+01 -5.644987004233378e-01 5.443348025889743e-01
3.036720910436565e+01 -5.126946238733636e-01 5.911331107657070e-01
3.045840192449888e+01 -4.568147078510212e-01 6.336487110210945e-01
3.054959474463211e+01 -3.972699149986737e-01 6.714372584292713e-01
3.064078756476534e+01 -3.345106501714988e-01 7.040800669428542e-01
3.073198038489857e+01 -2.690238636943470e-01 7.311964087023756e-01
3.082317320503180e+01 -2.013290212734021e-01 7.524559352610710e-01
3.091436602516503e+01 -1.319729676340750e-01 7.675903734206497e-01
3.100555884529826e+01 -6.152378965209620e-02 7.764036311199628e-01
3.109675166543149e+01 9.436138977769534e-03 7.787795202999006e-01
3.118794448556472e+01 8.031768384948813e-02 7.746864643756617e-01
3.127913730569795e+01 1.505327516644952e-01 7.641787943341355e-01
3.137033012583118e+01 2.195020493593509e-01 7.473945230792612e-01
3.146152294596441e+01 2.866624857724613e-01 7.245497872083592e-01
3.155271576609764e+01 3.514739312223490e-01 6.959304211059387e-01
3.164390858623087e+01 4.134251032630817e-01 6.618813466192774e-01
3.173510140636410e+01 4.720384161415627e-01 6.227945993168934e-01
3.182629422649733e+01 5.268737091976201e-01 5.790968596288165e-01
3.191748704663056e+01 5.775308474583167e-01 5.312373180499529e-01
3.200867986676379e+01 6.236512587310904e-01 4.796765934150430e-01
3.209987268689702e+01 6.649185301023104e-01 4.248772644068913e-01
3.219106550703025e+01 7.010582295794417e-01 3.672963914589340e-01
3.228225832716348e+01 7.318371445232409e-01 3.073802214266543e-01
3.237345114729671e+01 7.570621381720393e-01 2.455610981049064e-01
3.246464396742994e+01 7.765788209208340e-01 1.822564587175436e-01
3.255583678756317e+01 7.902702167391283e-01 1.178696844739007e-01
3.264702960769640e+01 7.980555800208176e-01 5.279249163046475e-02
3.273822242782963e+01 7.998894868659751e-01 -1.259150572744704e-02
3.282941524796286e+01 7.957612894624004e-01 -7.790246427700659e-02
3.292060806809609e+01 7.856949845167831e-01 -1.427596333691274e-01
3.301180088822932e+01 7.697495077877688e-01 -2.067767597534421e-01
3.310299370836255e+01 7.480194276172492e-01 -2.695580028624296e-01
3.319418652849578e+01 7.206359717924379e-01 -3.306947768680632e-01
3.328537934862901e+01 6.877682851073674e-01 -3.897639115067750e-01
3.337657216876224e+01 6.496247809917762e-01 -4.463274819905819e-01
3.346776498889547e+01 6.064544213862253e-01 -4.999345935290713e-01
3.355895780902870e+01 5.585477370163648e-01 -5.501253129588282e-01
3.365015062916194e+01 5.062373880857445e-01 -5.964368158612848e-01
3.374134344929517e+01 4.498980659814272e-01 -6.384116635889362e-01
3.383253626942840e+01 3.899455523246066e-01 -6.756079477125755e-01
3.392372908956163e+01 3.268347841314295e-01 -7.076108529334498e-01
3.401492190969486e+01 2.610568230022350e-01 -7.340450129550748e-01
3.410611472982809e+01 1.931346901685660e-01 -7.545868908093244e-01
3.419730754996132e+01 1.236181037192539e-01 -7.689763299392480e-01
3.428850037009455e+01 5.307723315515445e-02 -7.770264152104970e-01
3.437969319022778e+01 -1.790433813693558e-02 -7.786308653878032e-01
3.447088601036101e+01 -8.873718806144024e-02 -7.737683493324659e-01
3.456207883049424e+01 -1.588338694445265e-01 -7.625033620431639e-01
3.465327165062747e+01 -2.276166427097647e-01 -7.449835858967357e-01
3.474446447076070e+01 -2.945248150762089e-01 -7.214339611237979e-01
3.483565729089393e+01 -3.590214068686693e-01 -6.921479600262799e-01
3.492685011102716e+01 -4.205989207511769e-01 -6.574767691844055e-01
3.501804293116039e+01 -4.787840603943207e-01 -6.178172110872046e-01
3.510923575129362e+01 -5.331413232590912e-01 -5.735992731478337e-01
3.520042857142685e+01 -5.832754697132962e-01 -5.252740634855618e-01
3.529162139156008e+01 -6.288329405130088e-01 -4.733028956173550e-01
3.538281421169331e+01 -6.695023515331302e-01 -4.181480411940969e-01
3.547400703182654e+01 -7.050142354653001e-01 -3.602655056071921e-01
3.556519985195977e+01 -7.351402241056751e-01 -3.000999975644114e-01
3.565639267209300e+01 -7.596918726842360e-01 -2.380820971373594e-01
3.574758549222623e+01 -7.785193215127301e-01 -1.746274873932545e-01
3.583877831235946e+01 -7.915099727515812e-01 -1.101380064262011e-01
3.592997113249269e+01 -7.985873341360605e-01 -4.500419835339227e-02
3.602116395262592e+01 -7.997101496233103e-01 2.039101058525054e-02
3.611235677275915e+01 -7.948719012283016e-01 8.566791687944200e-02
3.620354959289238e+01 -7.841007284021402e-01 1.504453489322116e-01
3.629474241302561e+01 -7.674597723328718e-01 2.143361103343583e-01
3.638593523315884e+01 -7.450479134179042e-01 2.769429841495866e-01
3.647712805329207e+01 -7.170008317259354e-01 3.378557122812814e-01
3.656832087342530e+01 -6.834922835754467e-01 3.966493379710699e-01
3.665951369355853e+01 -6.447354538226618e-01 4.528842553459349e-01
3.675070651369176e+01 -6.009842149842708e-01 5.061082420118230e-01
3.684189933382499e+01 -5.525341033255978e-01 5.558606540425979e-01
3.693309215395822e+01 -4.997228112813283e-01 6.016788348749762e-01
3.702428497409145e+01 -4.429299978426643e-01 6.431066324371070e-01
